x[mm]	y[mm]	z[mm]				delta_x	delta_y	x_0	y_0
962.68	238.64	-2							
896.32	238.64	2							
962.68	238.64	-2							
962.68	238.64	2							
1029.04	238.64	-2							
1029.04	238.64	2							
1095.4	238.64	-2							
1095.4	238.64	2							
1161.76	238.64	-2							
1161.76	238.64	2							
1228.12	238.64	-2							
1228.12	238.64	2							
1294.48	238.64	-2							
1294.48	238.64	2							
1360.84	238.64	-2							
1360.84	238.64	2							
1427.2	238.64	-2							
1427.2	238.64	2							
1493.56	238.64	-2							
1493.56	238.64	2							
100	313.92	-2							
100	313.92	2							
166.36	313.92	-2							
166.36	313.92	2							
232.72	313.92	-2							
232.72	313.92	2							
299.08	313.92	-2							
299.08	313.92	2							
365.44	313.92	-2							
365.44	313.92	2							
431.8	313.92	-2							
431.8	313.92	2							
498.16	313.92	-2							
498.16	313.92	2							
564.52	313.92	-2							
564.52	313.92	2							
630.88	313.92	-2							
630.88	313.92	2							
697.24	313.92	-2							
630.88	313.92	2							
697.24	313.92	-2							
697.24	313.92	2							
763.6	313.92	-2							
763.6	313.92	2							
829.96	313.92	-2							
763.6	313.92	2							
829.96	313.92	-2							
829.96	313.92	2							
896.32	313.92	-2							
896.32	313.92	2							
962.68	313.92	-2							
896.32	313.92	2							
962.68	313.92	-2							
962.68	313.92	2							
1029.04	313.92	-2							
1029.04	313.92	2							
1095.4	313.92	-2							
1095.4	313.92	2							
1161.76	313.92	-2							
1161.76	313.92	2							
1228.12	313.92	-2							
1228.12	313.92	2							
1294.48	313.92	-2							
1294.48	313.92	2							
1360.84	313.92	-2							
1360.84	313.92	2							
1427.2	313.92	-2							
1427.2	313.92	2							
1493.56	313.92	-2							
1493.56	313.92	2							
100	389.2	-2							
100	389.2	2							
166.36	389.2	-2							
166.36	389.2	2							
232.72	389.2	-2							
232.72	389.2	2							
299.08	389.2	-2							
299.08	389.2	2							
365.44	389.2	-2							
365.44	389.2	2							
431.8	389.2	-2							
431.8	389.2	2							
498.16	389.2	-2							
498.16	389.2	2							
564.52	389.2	-2							
564.52	389.2	2							
630.88	389.2	-2							
630.88	389.2	2							
697.24	389.2	-2							
630.88	389.2	2							
697.24	389.2	-2							
697.24	389.2	2							
763.6	389.2	-2							
763.6	389.2	2							
829.96	389.2	-2							
763.6	389.2	2							
829.96	389.2	-2							
829.96	389.2	2							
896.32	389.2	-2							
896.32	389.2	2							
962.68	389.2	-2							
896.32	389.2	2							
962.68	389.2	-2							
962.68	389.2	2							
1029.04	389.2	-2							
1029.04	389.2	2							
1095.4	389.2	-2							
1095.4	389.2	2							
1161.76	389.2	-2							
1161.76	389.2	2							
1228.12	389.2	-2							
1228.12	389.2	2							
1294.48	389.2	-2							
1294.48	389.2	2							
1360.84	389.2	-2							
1360.84	389.2	2							
1427.2	389.2	-2							
1427.2	389.2	2							
1493.56	389.2	-2							
1493.56	389.2	2							
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
row number 									
2									
3									
4									
5									
6									
7									
8									
9									
10									
11									
12									
13									
14									
15									
16									
17									
18									
19									
20									
21									
22									
23									
24									
25									
26									
27									
28									
29									
30									
31									
32									
33									
34									
35									
36									
37									
38									
39									
40									
41									
42									
43									
44									
45									
46									
47									
48									
49									
50									
51									
52									
53									
54									
55									
56									
57									
58									
59									
60									
61									
62									
63									
64									
65									
66									
67									
68									
69									
70									
71									
72									
73									
74									
75									
76									
77									
78									
79									
80									
81									
82									
83									
84									
85									
86									
87									
88									
89									
90									
91									
92									
93									
94									
95									
96									
97									
98									
99									
100									
101									
102									
103									
104									
105									
106									
107									
108									
109									
110									
111									
112									
113									
114									
115									
116									
117									
118									
119									
120									
121									
122									
275									
276									
277									
278									
279									
280									
281									
282									
283									
284									
285									
286									
287									
288									
289									
290									
291									
292									
293									
294									
295									
296									
297									
298									
299									
300									
301									
302									
303									
304									
305									
306									
307									
308									
309									
310									
311									
312									
313									
314									
315									
316									
317									
318									
319									
320									
321									
322									
323									
324									
325									
326									
327									
328									
329									
330									
331									
332									
333									
334									
335									
336									
337									
338									
339									
340									
341									
342									
343									
344									
345									
346									
347									
348									
349									
350									
351									
352									
353									
354									
355									
356									
357									
358									
359									
360									
361									
362									
363									
364									
365									
366									
367									
368									
369									
370									
371									
372									
373									
374									
375									
376									
377									
378									
379									
380									
381									
382									
383									
384									
385									
386									
387									
388									
389									
390									
391									
392									
393									
394									
395									
396									
397									
398									
399									
400									
401									
402									
403									
404									
405									
406									
407									
408									
409									
410									
411									
412									
413									
414									
415									
416									
417									
418									
419									
420									
421									
422									
423									
424									
425									
426									
427									
428									
429									
430									
431									
432									
433									
434									
435									
436									
437									
438									
439									
440									
441									
442									
443									
444									
445									
446									
447									
448									
449									
450									
451									
452									
453									
454									
455									
456									
457									
458									
459									
460									
461									
462									
463									
464									
465									
466									
467									
468									
469									
470									
471									
472									
473									
474									
475									
476									
477									
478									
479									
480									
481									
482									
483									
484									
485									
486									
487									
488									
489									
490									
491									
492									
493									
494									
495									
496									
497									
498									
499									
500									
501									
502									
503									
504									
505									
506									
507									
508									
509									
510									
511									
512									
513									
514									
